brand,car_model,date_of_sale,car_price
Honda,Accord,11/06/2013,22746
Ford,Mustang,10/03/2014,25103
Honda,Accord,26/08/2022,70850
Tesla,Model 3,16/06/2017,19622
Ford,Mustang,19/07/2013,27730
Toyota,Camry,21/09/2017,86639
Ford,Mustang,12/12/2019,28861
Toyota,Camry,12/12/2016,95650
Chevrolet,Camaro,09/10/2015,79712
Kia,,07/02/2010,56281
Honda,Accord,03/08/2015,16704
Tesla,Model 3,26/11/2011,79824
Honda,Accord,14/11/2017,34167
Tesla,Model 3,11/01/2018,44572
Nissan,Sentra,12/09/2015,27885
Tesla,Model 3,07/09/2020,77243
Tesla,Model 3,02/12/2017,42501
Toyota,Camry,10/06/2015,33945
Kia,Picanto,10/04/2017,12769
Honda,Accord,26/09/2012,38155
Toyota,Camry,08/04/2013,47004
Honda,Accord,18/09/2020,13781
Honda,Accord,03/10/2021,21214
Chevrolet,,21/12/2021,18101
Nissan,Sentra,28/12/2018,49551
,,14/09/2010,92329
Nissan,Sentra,05/06/2012,33490
Chevrolet,Camaro,01/02/2017,85226
Honda,Accord,10/05/2010,57182
Nissan,Sentra,25/08/2015,35693
Honda,Accord,14/01/2019,76839
Honda,Accord,24/09/2021,26905
Nissan,Sentra,04/05/2010,57155
Tesla,Model 3,02/03/2011,16829
Honda,Accord,17/08/2019,35072
Toyota,Camry,05/01/2017,26379
Chevrolet,Camaro,15/05/2013,48249
Nissan,Sentra,17/09/2016,65687
Chevrolet,Camaro,26/05/2020,13190
Toyota,Camry,23/04/2022,17971
Chevrolet,Camaro,25/07/2018,29382
Honda,Accord,09/10/2017,92241
Honda,Accord,03/06/2018,15430
Kia,Picanto,07/01/2022,81177
Kia,Picanto,14/11/2015,29614
Nissan,Sentra,09/11/2010,80019
Tesla,Model 3,05/04/2019,60952
Tesla,Model 3,19/01/2019,45631
Honda,Accord,19/04/2020,49510
Ford,Mustang,02/05/2014,73008
Toyota,Camry,27/03/2012,74991
Tesla,Model 3,25/04/2013,79963
Ford,Mustang,12/11/2021,74556
Chevrolet,Camaro,10/03/2015,64061
Ford,Mustang,08/04/2016,59866
Ford,Mustang,21/05/2021,41839
Tesla,Model 3,06/02/2021,70655
Nissan,Sentra,19/05/2017,61565
Chevrolet,Camaro,05/10/2010,24113
Tesla,Model 3,06/09/2016,77263
Chevrolet,Camaro,24/11/2014,10528
Nissan,Sentra,22/03/2011,96147
Chevrolet,Camaro,23/06/2014,56139
Chevrolet,Camaro,26/07/2020,14231
Nissan,Sentra,,49414
Nissan,Sentra,13/05/2015,60446
Kia,Picanto,23/07/2018,31655
Honda,,06/08/2018,94782
Nissan,Sentra,08/10/2011,61068
Toyota,Camry,12/04/2011,38308
Nissan,Sentra,10/04/2015,30597
Chevrolet,Camaro,13/03/2019,25160
Ford,Mustang,14/06/2020,89202
Chevrolet,Camaro,19/10/2010,35686
Nissan,Sentra,04/10/2020,58883
Kia,Picanto,18/03/2016,26139
Tesla,Model 3,23/06/2013,68393
Kia,Picanto,16/09/2016,66935
Toyota,Camry,10/01/2020,25080
Kia,Picanto,08/08/2019,85201
Chevrolet,Camaro,20/01/2010,20207
Honda,Accord,04/02/2014,92784
Chevrolet,Camaro,01/12/2021,15502
Toyota,Camry,22/02/2011,32399
Tesla,Model 3,02/06/2017,64807
Honda,Accord,19/08/2022,97886
Toyota,Camry,04/06/2014,47772
Nissan,Sentra,20/03/2018,29046
Ford,Mustang,20/05/2019,15383
Tesla,Model 3,18/10/2010,22229
Nissan,Sentra,26/01/2022,53277
Honda,Accord,13/03/2016,25870
Tesla,Model 3,01/08/2011,50410
Honda,Accord,09/09/2018,77860
Toyota,Camry,19/11/2012,89964
Kia,Picanto,02/07/2014,96571
Honda,Accord,07/02/2010,17997
Nissan,Sentra,12/07/2014,90050
Ford,Mustang,25/01/2015,46870
Ford,Mustang,19/09/2010,34549
Kia,Picanto,27/04/2012,44800
Tesla,Model 3,28/12/2015,74222
Toyota,Camry,19/03/2021,38954
Chevrolet,Camaro,07/12/2017,78266
Chevrolet,Camaro,21/11/2011,88603
Kia,Picanto,21/09/2018,32284
Tesla,Model 3,28/12/2014,20545
Nissan,Sentra,27/10/2013,16967
Honda,Accord,22/01/2010,43283
Chevrolet,Camaro,03/11/2013,54987
Chevrolet,Camaro,06/05/2018,51653
Toyota,Camry,05/12/2019,14245
Toyota,Camry,22/11/2019,84087
Ford,Mustang,16/06/2019,89945
Toyota,Camry,11/12/2016,92177
Chevrolet,Camaro,02/02/2012,73234
Chevrolet,Camaro,01/12/2017,10106
Kia,Picanto,26/09/2021,52410
Kia,Picanto,16/07/2016,45364
Ford,Mustang,11/06/2017,74816
Kia,Picanto,02/04/2011,84201
Tesla,Model 3,11/02/2020,73922
Honda,Accord,20/06/2016,87652
Ford,Mustang,14/07/2013,91285
Toyota,Camry,06/09/2011,81210
Ford,Mustang,23/08/2011,77368
Chevrolet,Camaro,06/07/2021,94454
Chevrolet,Camaro,05/03/2010,59105
Honda,Accord,12/07/2012,38546
Tesla,Model 3,10/09/2011,45404
Honda,Accord,24/01/2012,28878
Tesla,Model 3,04/07/2012,39631
Ford,Mustang,15/02/2010,96625
Honda,Accord,16/08/2022,23732
Kia,Picanto,07/03/2021,69996
Ford,Mustang,07/12/2018,60237
Ford,Mustang,12/12/2016,20708
Nissan,Sentra,27/09/2010,92517
Toyota,Camry,22/09/2020,41172
Kia,Picanto,09/04/2015,78938
Ford,Mustang,11/09/2012,49090
Honda,Accord,15/06/2017,14035
Toyota,,15/07/2012,52192
Kia,Picanto,17/08/2014,88945
Honda,Accord,28/07/2019,81150
Kia,Picanto,09/11/2016,31513
Ford,Mustang,01/08/2019,63315
Honda,Accord,26/04/2018,28665
Kia,Picanto,09/01/2022,61323
Honda,Accord,14/09/2012,96851
Tesla,Model 3,03/03/2011,23917
Honda,Accord,27/05/2013,68360
Tesla,Model 3,16/08/2014,14832
Tesla,Model 3,07/10/2020,48505
Nissan,Sentra,17/12/2012,70418
Kia,Picanto,03/08/2010,84554
Tesla,Model 3,12/06/2017,78447
Nissan,Sentra,15/07/2013,21366
Toyota,Camry,21/10/2010,68322
Ford,Mustang,10/08/2011,12390
Kia,Picanto,08/12/2011,23394
Toyota,Camry,14/02/2016,66240
Tesla,Model 3,22/01/2013,27654
Toyota,Camry,06/03/2021,46238
Kia,Picanto,06/03/2017,95949
Honda,Accord,19/06/2013,84832
Toyota,Camry,05/05/2021,39114
Ford,Mustang,02/08/2010,34532
Ford,Mustang,07/10/2016,35238
Kia,Picanto,25/08/2016,70010
Honda,Accord,25/07/2017,68027
Kia,Picanto,13/01/2021,25828
Ford,Mustang,17/08/2021,69349
Chevrolet,Camaro,01/01/2010,20726
Nissan,Sentra,19/01/2021,86337
Ford,Mustang,19/05/2010,42261
Ford,Mustang,28/09/2016,74660
Honda,Accord,14/06/2014,21222
Ford,Mustang,28/10/2010,90728
Nissan,Sentra,27/02/2015,27307
Honda,Accord,17/08/2015,10686
Ford,Mustang,,24553
Honda,Accord,20/12/2018,80273
Toyota,Camry,13/04/2013,51036
Honda,Accord,04/02/2013,33108
Ford,Mustang,07/12/2020,20016
Toyota,Camry,25/12/2019,36413
Ford,Mustang,28/05/2019,21687
Ford,Mustang,20/08/2011,58465
Ford,Mustang,21/04/2016,15212
Chevrolet,Camaro,24/12/2013,18153
Nissan,Sentra,25/05/2013,62044
Toyota,Camry,06/07/2014,51045
Ford,Mustang,25/06/2013,81844
Honda,Accord,03/04/2015,12613
Toyota,Camry,21/05/2018,53306
Kia,Picanto,07/05/2010,97604
Tesla,Model 3,09/02/2019,56911
Toyota,Camry,10/01/2021,73523
Tesla,Model 3,16/06/2013,40195
Tesla,Model 3,07/09/2022,19559
Nissan,Sentra,07/04/2022,59070
Kia,Picanto,21/09/2020,86646
Toyota,Camry,17/09/2016,65054
Chevrolet,Camaro,21/03/2020,58211
Chevrolet,Camaro,24/11/2018,55571
Honda,Accord,05/01/2022,21913
Nissan,Sentra,14/05/2018,56807
Nissan,Sentra,14/08/2011,48059
Kia,Picanto,01/01/2011,49778
Honda,Accord,09/08/2013,67407
Ford,Mustang,06/12/2016,23310
Ford,Mustang,21/02/2013,53792
Tesla,Model 3,02/03/2015,35313
Nissan,Sentra,02/01/2022,47806
Toyota,Camry,26/04/2021,54961
Chevrolet,Camaro,02/02/2010,10367
Toyota,Camry,13/07/2016,87879
Tesla,,18/05/2011,12024
Kia,Picanto,12/01/2015,41235
Chevrolet,Camaro,28/01/2012,87209
Ford,Mustang,20/03/2011,67112
Kia,Picanto,18/09/2015,94514
Kia,Picanto,09/07/2015,75036
Honda,Accord,02/12/2015,70472
Toyota,Camry,18/07/2013,53831
Tesla,Model 3,04/10/2021,11665
Chevrolet,Camaro,10/05/2012,98608
Kia,Picanto,28/03/2015,71126
Toyota,Camry,11/05/2013,55916
Honda,Accord,19/06/2015,56100
Tesla,Model 3,15/06/2010,86350
Nissan,Sentra,06/01/2010,71904
Kia,Picanto,25/02/2018,36621
Ford,Mustang,14/09/2011,74851
Ford,Mustang,28/04/2017,21103
Ford,Mustang,16/05/2016,61181
Honda,Accord,25/02/2016,94812
Kia,Picanto,26/03/2022,85440
Tesla,Model 3,22/08/2021,19305
Toyota,Camry,09/12/2012,34047
Nissan,Sentra,20/01/2022,40147
Chevrolet,Camaro,03/05/2020,67876
Kia,Picanto,01/03/2019,65680
Nissan,Sentra,07/03/2014,86998
Toyota,Camry,01/06/2013,34945
Chevrolet,Camaro,03/11/2014,43104
Nissan,Sentra,17/11/2020,90214
Nissan,Sentra,19/10/2019,42578
Honda,Accord,07/05/2020,31492
Tesla,Model 3,11/11/2012,64596
Honda,,16/08/2020,48588
Kia,Picanto,24/12/2017,94728
Honda,Accord,06/06/2012,96794
Toyota,Camry,15/01/2016,28797
Ford,Mustang,04/11/2020,92535
Tesla,Model 3,22/02/2021,89508
Tesla,Model 3,28/08/2012,17417
Nissan,Sentra,25/06/2019,27905
Honda,Accord,27/10/2018,60705
Chevrolet,Camaro,12/04/2011,83035
Ford,Mustang,12/12/2012,35519
Chevrolet,Camaro,14/09/2020,69385
Tesla,Model 3,17/11/2011,93315
Ford,Mustang,19/11/2020,88356
Chevrolet,Camaro,12/04/2013,94815
Chevrolet,Camaro,13/04/2010,21123
Toyota,Camry,15/12/2020,28550
Ford,Mustang,06/05/2010,69610
Nissan,Sentra,24/07/2016,88867
Nissan,Sentra,06/07/2017,94458
Tesla,Model 3,18/02/2014,75746
Ford,Mustang,15/10/2016,27216
Ford,Mustang,14/07/2014,23668
Honda,Accord,08/02/2015,60864
Honda,Accord,11/01/2020,70042
Honda,Accord,07/09/2017,83308
Nissan,Sentra,14/08/2015,27199
Honda,Accord,26/12/2017,56622
Chevrolet,Camaro,24/12/2020,10061
Honda,Accord,11/05/2011,31761
Kia,Picanto,13/07/2011,44266
Tesla,Model 3,12/10/2014,79564
Tesla,Model 3,08/01/2016,27004
Toyota,Camry,10/11/2021,35381
Toyota,Camry,28/05/2016,62688
Kia,Picanto,19/12/2017,50640
Toyota,Camry,27/06/2018,70390
Chevrolet,Camaro,14/05/2021,93890
Honda,Accord,10/06/2019,63730
Toyota,Camry,27/09/2019,58301
Honda,Accord,04/09/2022,54397
Tesla,Model 3,10/11/2017,74171
Honda,Accord,14/04/2016,11272
Toyota,Camry,15/12/2022,49071
Ford,Mustang,17/04/2019,23006
Nissan,Sentra,26/07/2013,77984
Tesla,Model 3,17/08/2011,32340
Nissan,Sentra,24/10/2017,49349
Honda,Accord,07/05/2015,90816
Tesla,Model 3,27/11/2017,23755
Nissan,Sentra,16/08/2022,59437
Toyota,Camry,26/08/2010,48071
Honda,Accord,28/06/2010,94972
Honda,Accord,22/08/2010,19683
Tesla,Model 3,11/02/2012,63365
Chevrolet,Camaro,18/11/2015,14572
Kia,Picanto,20/05/2019,50256
Kia,Picanto,12/04/2017,71596
Honda,Accord,28/09/2022,28443
Chevrolet,Camaro,13/12/2015,50545
Ford,Mustang,06/10/2021,75737
Tesla,Model 3,20/07/2020,27263
Honda,Accord,08/06/2018,53005
Nissan,Sentra,14/10/2014,76766
Kia,Picanto,07/11/2016,98645
Tesla,Model 3,23/08/2013,93726
Honda,Accord,12/08/2019,99682
Nissan,Sentra,10/04/2011,14252
Honda,Accord,24/11/2013,71746
Honda,Accord,27/01/2021,54512
Toyota,Camry,01/05/2017,82607
Tesla,Model 3,07/08/2015,97136
Ford,Mustang,09/09/2015,63817
Kia,Picanto,25/08/2016,78250
Nissan,Sentra,08/08/2020,86380
Nissan,Sentra,19/12/2012,66920
Chevrolet,Camaro,28/02/2010,53479
Tesla,Model 3,19/05/2019,64396
Nissan,Sentra,20/10/2017,84122
Nissan,Sentra,14/12/2022,59465
Chevrolet,Camaro,18/10/2018,66846
Chevrolet,Camaro,13/12/2020,30813
Ford,Mustang,14/11/2018,15448
Tesla,Model 3,04/12/2013,78618
Honda,Accord,10/07/2017,58592
Chevrolet,Camaro,17/01/2019,49550
Nissan,Sentra,01/06/2010,11474
Tesla,Model 3,12/12/2018,31851
Honda,Accord,27/11/2013,65635
Honda,Accord,01/11/2016,37179
Nissan,Sentra,19/06/2015,31070
Tesla,Model 3,24/02/2021,47352
Nissan,Sentra,06/04/2019,82975
Kia,Picanto,25/12/2021,65095
Nissan,Sentra,22/07/2017,16957
Toyota,Camry,26/10/2016,95470
Kia,Picanto,06/08/2010,73478
Honda,Accord,23/11/2018,19483
Chevrolet,Camaro,09/12/2022,18166
Toyota,Camry,04/07/2018,12126
Toyota,Camry,16/08/2022,71667
Tesla,Model 3,19/06/2018,36968
Toyota,Camry,07/09/2014,98870
Ford,Mustang,20/08/2014,64035
Kia,Picanto,25/07/2011,80602
Nissan,Sentra,07/03/2021,48273
Tesla,Model 3,16/03/2018,97070
Tesla,Model 3,21/09/2013,65649
Kia,Picanto,26/08/2014,39770
Honda,Accord,18/10/2015,23621
Kia,Picanto,22/06/2013,50545
Nissan,Sentra,07/02/2022,49814
Toyota,Camry,20/02/2018,95128
Tesla,Model 3,09/01/2017,94476
Kia,Picanto,21/04/2014,65113
Nissan,Sentra,02/11/2018,95281
Toyota,Camry,11/01/2011,65803
Kia,Picanto,08/06/2020,69531
Toyota,Camry,11/05/2020,23870
Kia,Picanto,10/07/2012,19247
Chevrolet,Camaro,15/04/2011,46152
Ford,Mustang,14/05/2018,60149
Tesla,Model 3,24/01/2022,47600
Tesla,Model 3,25/05/2016,37312
Nissan,Sentra,06/09/2012,65045
Tesla,Model 3,04/10/2013,41906
Honda,Accord,02/06/2017,49561
Honda,Accord,09/09/2015,65403
Nissan,Sentra,01/09/2018,89956
Kia,Picanto,16/02/2013,84237
Tesla,Model 3,09/02/2022,59479
Toyota,Camry,02/08/2020,80215
Kia,Picanto,25/07/2022,68846
Chevrolet,Camaro,17/03/2012,84798
Nissan,Sentra,11/11/2012,40408
Tesla,Model 3,20/02/2013,22870
Nissan,Sentra,14/05/2014,78146
Toyota,Camry,13/02/2010,33835
Kia,Picanto,12/05/2016,23730
Toyota,Camry,12/03/2021,78109
Honda,Accord,28/01/2020,90313
Chevrolet,Camaro,18/12/2021,88553
Chevrolet,Camaro,16/03/2020,68710
Kia,Picanto,02/09/2017,96379
Honda,Accord,02/10/2010,59548
Tesla,Model 3,21/11/2015,97763
Tesla,Model 3,14/09/2010,36131
Nissan,Sentra,08/09/2022,43257
Nissan,Sentra,02/12/2016,77554
Toyota,Camry,07/09/2012,89245
Toyota,Camry,11/09/2019,73599
Honda,Accord,06/05/2014,88392
Honda,Accord,27/11/2021,51821
Honda,Accord,15/12/2012,13817
Ford,Mustang,14/03/2022,32295
Ford,Mustang,06/03/2018,26299
Tesla,Model 3,24/01/2022,25784
Nissan,Sentra,05/01/2019,62350
Tesla,Model 3,16/06/2021,72684
Nissan,Sentra,01/12/2022,27572
Honda,Accord,03/02/2012,74201
Nissan,Sentra,21/09/2011,37014
Ford,Mustang,02/12/2017,54138
Ford,Mustang,16/10/2019,56873
Tesla,Model 3,19/08/2022,85014
Chevrolet,Camaro,21/02/2015,74098
Toyota,Camry,26/02/2013,86881
Chevrolet,Camaro,18/02/2010,95116
Honda,Accord,22/04/2011,59469
Ford,Mustang,23/07/2015,51371
Honda,Accord,24/12/2013,94102
Honda,Accord,24/08/2021,34440
Toyota,Camry,21/05/2018,32812
Kia,Picanto,05/06/2016,26978
Ford,Mustang,25/05/2016,99834
Chevrolet,Camaro,03/07/2015,58109
Kia,Picanto,13/07/2022,30562
Kia,Picanto,02/06/2021,79403
Toyota,Camry,28/09/2015,69150
Honda,Accord,07/08/2018,81412
Toyota,Camry,27/06/2021,31089
Chevrolet,Camaro,04/04/2019,75379
Chevrolet,Camaro,02/10/2010,51467
Kia,Picanto,18/09/2011,50349
Toyota,Camry,01/06/2022,43011
Tesla,Model 3,13/06/2015,16409
Kia,Picanto,09/10/2021,42958
Kia,Picanto,11/01/2015,37125
Chevrolet,Camaro,20/01/2014,55929
Honda,Accord,04/01/2014,49330
Honda,Accord,07/07/2012,17086
Tesla,Model 3,06/05/2019,31854
Toyota,Camry,22/01/2011,32059
Toyota,Camry,12/09/2019,35901
Ford,Mustang,18/06/2015,47177
Honda,Accord,15/04/2016,23876
Kia,Picanto,28/03/2022,45196
Honda,Accord,18/09/2022,25245
Kia,Picanto,14/09/2011,92503
Honda,Accord,09/05/2021,18946
Ford,Mustang,20/09/2014,26498
Ford,Mustang,13/06/2014,99407
Chevrolet,Camaro,22/08/2019,47617
Ford,Mustang,26/12/2022,80975
Toyota,Camry,09/02/2016,14324
Toyota,Camry,06/06/2020,51991
Ford,Mustang,15/02/2020,67964
Chevrolet,Camaro,27/11/2020,67343
Tesla,Model 3,01/12/2020,78595
Toyota,Camry,25/05/2014,58799
Tesla,Model 3,12/03/2020,65728
Kia,Picanto,17/10/2022,87434
Kia,Picanto,23/06/2021,17897
Chevrolet,Camaro,06/10/2014,85175
Tesla,Model 3,26/01/2015,12471
Toyota,Camry,11/04/2017,89764
Nissan,Sentra,01/05/2015,11548
Honda,Accord,21/03/2011,66242
Kia,Picanto,24/07/2017,62969
Honda,Accord,05/01/2017,51817
Ford,Mustang,13/12/2016,27466
Tesla,Model 3,14/03/2018,55288
Nissan,Sentra,17/11/2010,71198
Honda,Accord,11/06/2012,53038
Tesla,Model 3,12/03/2016,53518
Toyota,Camry,12/08/2011,47274
Ford,Mustang,28/08/2022,70552
Kia,Picanto,24/05/2016,72000
Tesla,Model 3,24/09/2014,75796
Honda,Accord,25/12/2016,41953
Nissan,Sentra,17/08/2011,72989
Nissan,Sentra,02/04/2011,52534
Chevrolet,Camaro,14/08/2014,43003
Toyota,Camry,27/06/2020,53432
Honda,Accord,07/10/2011,17204
Nissan,Sentra,08/12/2021,98532
Honda,Accord,01/11/2015,33943
Chevrolet,Camaro,01/05/2017,99404
Nissan,Sentra,13/03/2020,68420
Honda,Accord,09/12/2016,53782
Kia,Picanto,21/05/2020,83107
Ford,Mustang,25/09/2014,69033
Chevrolet,Camaro,27/05/2018,29273
Honda,Accord,13/06/2017,16982
Chevrolet,Camaro,07/01/2012,85835
Honda,Accord,13/04/2011,57296
Kia,Picanto,03/09/2017,99020
Kia,Picanto,04/08/2022,28428
Kia,Picanto,17/03/2014,77132
Chevrolet,Camaro,23/03/2014,12130
Honda,Accord,28/02/2012,53735
Tesla,Model 3,07/01/2018,87387
Kia,Picanto,08/11/2013,62170
Chevrolet,Camaro,27/07/2019,99023
Tesla,Model 3,05/04/2020,52076
Nissan,Sentra,15/07/2014,49257
Nissan,Sentra,24/08/2022,68832
Honda,Accord,10/02/2019,52294
Tesla,Model 3,20/08/2017,16582
Toyota,Camry,03/12/2015,37961
Ford,Mustang,01/10/2016,73335
Honda,Accord,26/10/2018,14787
Chevrolet,Camaro,22/06/2018,85627
Kia,Picanto,06/10/2019,71395
Nissan,Sentra,25/01/2019,44476
Honda,Accord,26/01/2016,84837
Toyota,Camry,25/07/2017,40933
Tesla,Model 3,19/08/2015,55148
Ford,Mustang,03/01/2017,59180
Honda,Accord,09/05/2010,73188
Chevrolet,Camaro,14/11/2020,50558
Tesla,Model 3,11/11/2017,85757
Honda,Accord,20/07/2014,31730
Tesla,Model 3,24/05/2021,11162
Honda,Accord,27/03/2016,51627
Honda,Accord,22/07/2020,44757
Tesla,Model 3,04/05/2012,70766
Ford,Mustang,12/03/2011,13163
Ford,Mustang,28/10/2020,22954
Kia,Picanto,01/05/2014,96403
Toyota,Camry,16/05/2012,39691
Nissan,Sentra,14/03/2013,84343
Ford,Mustang,03/08/2017,74399
Nissan,Sentra,10/08/2022,50263
Toyota,Camry,24/07/2012,23168
Nissan,Sentra,21/09/2020,35709
Ford,Mustang,26/03/2017,28304
Toyota,Camry,17/06/2014,67998
Honda,Accord,04/10/2013,18074
Chevrolet,Camaro,06/07/2020,97066
Nissan,Sentra,01/02/2016,33838
Honda,Accord,28/11/2015,17329
Nissan,Sentra,20/08/2012,52598
Chevrolet,Camaro,16/06/2011,33703
Ford,Mustang,13/05/2021,82542
Toyota,Camry,19/08/2017,62842
Toyota,Camry,15/12/2017,34317
Nissan,Sentra,03/12/2019,27266
Kia,Picanto,16/04/2010,29732
Ford,Mustang,28/11/2019,38126
Tesla,Model 3,21/10/2012,60400
Nissan,Sentra,07/09/2019,17224
Nissan,Sentra,22/11/2021,76583
Toyota,Camry,08/11/2022,60484
Chevrolet,Camaro,20/10/2018,73452
Toyota,Camry,03/02/2014,94160
Nissan,Sentra,08/11/2012,26431
Toyota,Camry,21/04/2021,39495
Nissan,Sentra,04/04/2014,61272
Kia,Picanto,23/02/2014,77068
Nissan,Sentra,07/05/2013,66454
Toyota,Camry,20/07/2020,57539
Kia,Picanto,08/11/2020,50758
Nissan,Sentra,02/03/2022,86108
Toyota,Camry,21/11/2018,72997
Honda,Accord,21/07/2017,79107
Kia,Picanto,28/04/2015,60889
Toyota,Camry,27/04/2016,78389
Chevrolet,Camaro,22/10/2017,35242
Nissan,Sentra,23/09/2016,39300
Chevrolet,Camaro,24/08/2016,86675
Honda,Accord,06/08/2018,16479
Kia,Picanto,18/09/2015,54109
Honda,Accord,05/08/2015,10563
Honda,Accord,24/09/2014,93689
Nissan,Sentra,14/10/2017,37555
Ford,Mustang,15/03/2016,32171
Honda,Accord,04/06/2010,44267
Ford,Mustang,27/04/2014,69873
Kia,Picanto,12/11/2017,31434
Kia,Picanto,26/08/2011,91319
Nissan,Sentra,21/02/2011,27296
Chevrolet,Camaro,22/05/2017,83142
Tesla,Model 3,03/12/2010,54280
Ford,Mustang,13/08/2019,31605
Tesla,Model 3,23/01/2012,38221
